iter    | category           | len  | shepOk | shaOk | shepOnes | shaOnes | shepEnt | shaEnt | shepRuns | shaRuns | shepHam  | shaHam  | shepPosU  | shaPosU  | shepGlobU  | shaGlobU  | shepFinal | shaFinal | better 
7500    | unicode40000       | 84   | 7500   | 7500  | 49.99    | 49.96   | 1.000   | 1.000  | 0.9573   | 0.0661  | 127.90   | 128.07  | 98.14     | 98.12    | 99.81      | 99.68     | 97.94     | 98.35    | SHA256 
7600    | unicode20000       | 88   | 7600   | 7600  | 49.99    | 49.95   | 1.000   | 1.000  | 0.9679   | 0.1325  | 127.90   | 128.08  | 98.16     | 98.13    | 99.80      | 99.68     | 97.44     | 99.02    | SHA256 
7700    | A-Za-z             | 45   | 7700   | 7700  | 49.98    | 49.95   | 1.000   | 1.000  | 0.8843   | 0.1122  | 127.90   | 128.08  | 98.18     | 98.13    | 99.80      | 99.67     | 98.38     | 98.31    | SHEP32 
7800    | unicode200000      | 55   | 7800   | 7800  | 49.98    | 49.96   | 1.000   | 1.000  | 0.9889   | 0.0931  | 127.90   | 128.07  | 98.20     | 98.14    | 99.81      | 99.68     | 97.44     | 98.83    | SHA256 
7900    | a-zA-Z0-9          | 27   | 7900   | 7900  | 49.97    | 49.95   | 1.000   | 1.000  | 0.9208   | 0.1168  | 127.90   | 128.06  | 98.21     | 98.16    | 99.80      | 99.69     | 98.00     | 98.59    | SHA256 
8000    | a-z                | 18   | 8000   | 8000  | 49.97    | 49.96   | 1.000   | 1.000  | 0.9658   | 0.0993  | 127.92   | 128.06  | 98.21     | 98.17    | 99.80      | 99.68     | 97.65     | 98.73    | SHA256 
8100    | A-Z                | 12   | 8100   | 8100  | 49.97    | 49.96   | 1.000   | 1.000  | 0.9351   | 0.1120  | 127.92   | 128.08  | 98.20     | 98.18    | 99.79      | 99.68     | 97.89     | 98.64    | SHA256 
8200    | a-zA-Z0-9          | 28   | 8200   | 8200  | 49.97    | 49.96   | 1.000   | 1.000  | 0.9337   | 0.1129  | 127.91   | 128.06  | 98.21     | 98.19    | 99.79      | 99.68     | 97.90     | 98.64    | SHA256 
8300    | A-Z                | 34   | 8300   | 8300  | 49.97    | 49.96   | 1.000   | 1.000  | 0.7835   | 0.1086  | 127.91   | 128.05  | 98.22     | 98.20    | 99.80      | 99.69     | 99.17     | 97.77    | SHEP32 
8400    | a-zA-Z0-9          | 38   | 8400   | 8400  | 49.98    | 49.96   | 1.000   | 1.000  | 0.8709   | 0.0971  | 127.93   | 128.06  | 98.22     | 98.21    | 99.81      | 99.70     | 98.59     | 98.10    | SHEP32 
8500    | a-zA-Z0-9          | 99   | 8500   | 8500  | 49.98    | 49.96   | 1.000   | 1.000  | 0.7830   | 0.0975  | 127.95   | 128.07  | 98.25     | 98.23    | 99.81      | 99.70     | 99.24     | 97.68    | SHEP32 
